编号,类别,图题或文件主题,参考来源,原发布页,作者,台账许可线索,本次处理
XIAO-10-1-1,教材PDF裁图候选,图1-1 梁式桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-10-1-2,教材PDF裁图候选,图1-2 拱式桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-11-1-3,教材PDF裁图候选,图1-3 斜拉桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-11-1-4,教材PDF裁图候选,图1-4 悬索桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-13-1-6,教材PDF裁图候选,图1-6 具有全部受拉构件的纯缆索体系的基本形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-14-1-7,教材PDF裁图候选,图1-7 悬索桥的边跨布置形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-14-1-8,教材PDF裁图候选,图1-8 部分地锚斜拉桥和斜拉悬吊协作体系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-14-1-9,教材PDF裁图候选,图1-9 各种桥型单位面积造价与跨径关系估算图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-15-1-11,教材PDF裁图候选,图1- 11 曲线形索塔,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-16-1-12,教材PDF裁图候选,图1-12 里翁-安蒂里翁桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-16-1-13,教材PDF裁图候选,图1-13 里翁-安蒂里翁桥总体布置图（m）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-16-1-14,教材PDF裁图候选,图1- 14 里翁-安蒂里翁桥隔震基础,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-17-1-15,教材PDF裁图候选,图1- 15 桥墩上阻尼系统布置示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
