id,selected,needs_revision,action,image,chapter
G01-A,False,False,收进备选，保留原文件,G01-A-v2.png,
G01-B,True,False,正文情境图试排,G01-B.png,ch01
G01-C,False,False,收进备选，保留原文件,G01-C.png,
G02-A,False,False,收进备选，保留原文件,G02-A.png,
G02-B,True,False,正文情境图试排,G02-B.png,ch02-foundations
G02-C,False,False,收进备选，保留原文件,G02-C.png,
G03-A,True,True,保留画法，构造待修正,G03-A.png,
G03-B,False,True,收进备选，保留原文件,G03-B.png,
G03-C,False,True,收进备选，保留原文件,G03-C.png,
G04-A,False,False,收进备选，保留原文件,G04-A.png,
G04-B,True,False,正文情境图试排,G04-B.png,ch03
G04-C,False,False,收进备选，保留原文件,G04-C.png,
G05-A,False,False,收进备选，保留原文件,G05-A.png,
G05-B,False,True,收进备选，保留原文件,G05-B.png,
G05-C,True,True,保留画法，构造待修正,G05-C.png,
G06-A,False,False,收进备选，保留原文件,G06-A.png,
G06-B,False,False,收进备选，保留原文件,G06-B.png,
G06-C,True,False,正文情境图试排,G06-C.png,ch06
G07-A,True,True,保留画法，构造待修正,G07-A.png,
G07-B,False,False,收进备选，保留原文件,G07-B.png,
G07-C,False,True,收进备选，保留原文件,G07-C.png,
G08-A,True,False,正文情境图试排,G08-A.png,ch10-lifecycle
G08-B,False,False,收进备选，保留原文件,G08-B.png,
G08-C,False,False,收进备选，保留原文件,G08-C.png,
